,sloc_physical_mod_list,sloc_logical_mod_list,param_mod_list
344,18,12,7
345,39,26,3
346,145,117,1
347,13,10,0
348,28,20,0
349,124,77,7
350,1,0,0
351,103,63,0
352,113,63,0
353,61,42,4
354,36,24,3
355,20,13,7
356,39,24,3
357,124,77,7
358,108,75,1
359,546,415,29
360,39,29,3
361,71,43,0
362,51,33,3
363,38,22,3
364,18,12,7
365,32,20,3
366,124,77,7
367,1,0,0
368,28,24,0
369,25,20,0
370,35,27,0
371,16,12,2
372,21,14,0
373,1,0,0
374,1,0,0
375,217,164,10
376,37,24,2
377,67,54,2
378,35,25,0
379,60,38,0
380,99,79,0
381,90,56,0
382,206,170,2
383,79,51,8
384,265,206,0
385,48,27,5
386,18,13,0
387,36,27,0
388,15,9,1
389,87,46,6
390,59,41,0
391,127,86,2
392,26,14,0
393,127,87,3
394,17,10,0
395,239,176,12
396,123,63,4
397,40,39,0
398,24,19,0
399,343,284,2
400,234,173,12
401,144,80,4
402,18,10,0
403,41,29,0
404,30,16,0
405,40,22,0
406,90,64,4
407,51,32,0
408,5,4,0
409,901,211,1
410,64,31,0
411,65,31,0
412,76,53,4
413,42,24,0
414,29,23,0
415,17,14,0
416,164,94,7
417,52,46,0
418,531,362,9
419,42,25,2
420,34,20,0
421,72,45,0
422,77,49,3
423,29,22,0
424,84,59,6
425,129,93,0
426,181,110,5
427,302,213,14
428,300,218,14
429,22,13,0
430,201,990,74
431,67,43,3
432,96,80,3
433,62,38,0
434,24,16,0
435,52,44,0
436,17,12,0
437,37,28,2
438,74,35,5
439,28,24,0
440,77,40,2
441,692,445,23
442,13,8,0
443,43,25,1
444,91,67,0
445,96,101,0
446,169,118,2
447,60,34,5
448,113,94,5
449,84,59,6
450,129,93,0
451,56,40,4
452,106,79,7
453,34,21,3
454,118,75,8
455,101,64,4
456,18,12,7
457,216,169,11
458,142,133,7
459,91,59,6
460,137,92,0
461,101,110,0
462,39,26,0
463,124,77,7
464,1,0,0
465,58,45,9
466,90,62,0
467,67,44,2
468,37,23,0
469,10,9,0
470,32,15,0
471,162,160,9
472,65,48,1
473,7,4,4
474,27,20,0
475,7,4,4
476,27,20,0
477,84,59,6
478,132,97,0
479,44,26,0
480,23,18,0
481,38,33,3
482,124,77,7
483,1,0,0
484,40,33,3
485,13,10,0
486,22,15,0
487,57,43,2
488,28,24,0
489,84,59,6
490,129,93,0
491,76,47,3
492,82,62,0
493,36,25,0
494,74,35,5
495,125,73,2
496,303,215,14
497,94,78,3
498,25,17,1
499,87,52,0
500,138,127,2
501,17,9,0
502,204,116,12
503,50,24,0
504,45,36,14
505,133,100,0
506,65,40,11
507,42,30,7
508,16,13,4
509,34,16,0
510,140,108,0
511,124,77,7
512,1,0,0
513,23,17,0
514,38,21,0
515,17,12,0
516,26,16,0
517,34,14,0
518,16,10,0
519,35,18,4
520,16227,12255,2393
521,34,26,0
522,397,240,25
523,27,22,0
524,41,37,0
525,76,54,0
526,24,17,3
527,1,0,0
528,71,45,4
529,111,68,6
530,41,24,0
531,35,24,0
532,58,37,1
533,48,33,0
534,162,93,5
535,48,33,0
536,20,10,2
537,48,33,0
538,48,33,0
539,44,28,3
540,80,52,6
541,56,33,1
542,35,22,0
543,46,36,0
544,213,115,15
545,127,79,4
546,6,5,4
547,205,119,2
548,18,12,7
549,48,33,0
550,40,37,2
551,41,37,0
552,60,46,0
553,39,30,0
554,65,48,1
555,23,16,0
556,35,25,6
557,931,414,68
558,112,76,0
559,28,20,3
560,26,17,0
561,23,15,0
562,26,15,0
563,478,276,13
564,64,48,0
565,76,63,0
566,49,34,6
567,75,55,0
568,84,59,6
569,129,93,0
570,278,456,0
571,25,21,0
572,11,8,3
573,43,30,4
574,145,115,0
575,10,7,2
576,38,41,0
577,100,61,0
578,61,45,0
579,118,90,0
580,65,40,11
581,42,30,7
582,16,13,4
583,34,16,0
584,53,35,2
585,37,29,1
586,75,55,1
587,35,25,6
588,26,16,0
589,84,59,6
590,129,93,0
591,60,36,0
592,77,43,1
593,46,35,0
594,71,41,0
595,99,59,2
596,18,12,7
597,74,43,3
598,560,389,0
599,118,90,0
600,105,86,16
601,23,17,7
602,38,28,1
603,37,23,0
604,38,33,0
605,384,207,27
606,364,296,0
607,60,53,1
608,151,81,13
609,69,65,9
610,39,30,1
611,16,12,4
612,55,35,0
613,34,22,4
614,237,135,17
615,41,34,1
616,56,47,0
617,9,6,2
618,300,218,14
619,6,5,5
620,170,93,2
621,18,12,7
622,27,14,0
623,115,80,0
624,30,21,3
625,139,82,7
626,237,139,17
627,53,37,0
628,60,55,17
629,137,111,4
630,114,87,0
631,42,33,0
632,67,42,12
633,41,30,7
634,16,13,4
635,28,19,0
636,48,33,0
637,118,90,0
638,118,90,0
639,38,33,0
640,149,82,7
641,46,33,0
642,65,40,11
643,42,30,7
644,16,13,4
645,34,16,0
646,118,90,0
647,65,40,11
648,42,30,7
649,16,13,4
650,34,16,0
651,110,59,4
652,41,34,1
653,56,47,0
654,9,6,2
655,41,28,0
656,34,24,4
657,98,58,14
658,77,37,4
659,42,24,0
660,42,24,0
661,42,24,0
662,42,24,0
663,42,24,0
664,111,63,3
665,60,49,0
666,63,48,9
667,65,40,11
668,42,30,7
669,16,13,4
670,34,16,0
671,151,95,0
672,48,34,4
673,49,29,0
674,59,45,0
675,74,48,2
676,100,61,0
677,37,26,0
678,27,16,3
679,49,33,2
680,14,11,0
681,57,36,1
682,74,48,2
683,239,176,12
684,123,63,4
685,111,75,10
686,88,58,12
687,129,106,0
688,107,101,1
689,24,18,0
690,65,68,2
691,60,41,0
692,79,58,1
693,79,58,1
694,79,58,1
695,79,58,1
696,69,47,2
697,239,176,12
698,123,63,4
699,111,75,10
700,74,48,2
701,111,92,1
702,266,202,0
