Group,total files,JavaScript files,% JavaScript files,avg JavaScript files per sketch,total loc JavaScript,avg loc per file,total comments JavaScript,avg comments per file
created,28367,12860,45.33,0.8843350295695228,1109659,86.29,175887,13.68
hearted,28213,12220,43.31,0.8608058608058609,1530422,125.24,254824,20.85
total,56580,25080,44.33,0.8727120885239056,2640081,105.27,430711,17.17
