,total files,Arduino Sketch files,% Arduino Sketch files,total loc Arduino Sketch,avg loc per file,total comments Arduino Sketch,avg comments per file
created,28367,4572,16.12,309369,67.67,19439,4.25
hearted,28213,6295,22.31,785111,124.72,70553,11.21
