Group,total files,HTML files,% HTML files,avg HTML files per sketch,total loc HTML,avg loc per file,total comments HTML,avg comments per file
created,28367,10241,36.1,0.7042360060514372,126201,12.32,453,0.04
hearted,28213,8873,31.45,0.6250352211890673,68436,7.71,681,0.08
total,56580,19114,33.78,0.6651123947386736,194637,10.18,1134,0.06
