files,language,blank,comment,code
21461,JavaScript,342046,350000,2201278
9937,Arduino Sketch,156764,81560,966442
161,Text,27985,0,864609
41,CSV,0,0,212051
2198,HTML,4900,754,71704
75,JSON,26,0,70070
54,Java,1567,890,8896
124,SVG,3,52,8496
129,GLSL,1835,704,5263
161,CSS,586,223,4361
1,Python,40,18,76
1,XML,1,0,13
6,Properties,0,0,11
2,Markdown,1,0,8
1,INI,1,0,4
1,PHP,0,0,1
34353,SUM,535755,434201,4413283
