files,language,blank,comment,code
25080,JavaScript,410032,430711,2640081
10867,Arduino Sketch,175919,89992,1094480
266,Text,28436,0,889531
67,CSV,0,0,407122
19114,HTML,22959,1134,194637
87,JSON,28,0,113881
160,SVG,4,75,9191
580,CSS,867,289,9009
280,GLSL,3146,1244,8999
54,Java,1567,890,8896
1,Python,40,18,76
11,Markdown,10,0,44
2,XML,2,0,26
9,Properties,0,0,17
1,INI,1,0,4
1,PHP,0,0,1
56580,SUM,643011,524353,5375995
